identifier,instance_type,theme_path,title,page_groups,sort_order
fastest-bigmarket-footer-content-links,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_bigmarket,"Fastest - Big Market - Footer Content - Links","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:24:""footer.container.wrapper"";}}}",0
fastest-bigmarket-footer-container-top-newsletter,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_bigmarket,"Fastest - Big Market - Footer Container Top - Newsletter","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:18:""footer.content.top"";}}}",0
fastest-bigmarket-footer-payment,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_bigmarket,"Fastest - Big Market - Footer Payment","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:19:""footer.custom.block"";}}}",0
fastest-bigmarket-main-content-top-slideshow,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_bigmarket,"Fastest - Big Market - Main Content Top - Slideshow","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:18:""page.top.slideshow"";}}}",2
fastest-bigmarket-main-menu,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_bigmarket,"Fastest - Big Market - Main Menu","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:14:""menu.container"";}}}",1
fastest-bigmarket-left-navigation,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_bigmarket,"Fastest - Big Market - Left Navigation","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:9:""left.menu"";}}}",1
fastest-bigmarket-header-call-us,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_bigmarket,"Fastest - Big Market- Header Call Us","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:19:""header.bottom.right"";}}}",1
fastest-bigmarket-main-area-new-product,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_bigmarket,"Fastest - Big Market- Main Area - New Product","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",1
fastest-bigmarket-main-area-our-blog,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_bigmarket,"Fastest - Big Market- Main Area - Our Blog","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",8
fastest-bigmarket-main-area-social,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_bigmarket,"Fastest - Big Market- Main Area - Social","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",9
fastest-bigmarket-main-area-ads,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_bigmarket,"Fastest - Big Market- Main Area - Ads","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",10
fastest-bigmarket-main-area-home-brands-slider,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_bigmarket,"Fastest - Big Market- Main Area - Home Brands Slider","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",6
fastest-bigmarket-main-area-four-block-product,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_bigmarket,"Fastest - Big Market- Main Area - Four Block Products","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",7
fastest-bigmarket-main-area-kid-world,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_bigmarket,"Fastest - Big Market- Main Area - Kid worlds","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",2
fastest-bigmarket-main-area-cosmetic-and-perfumes,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_bigmarket,"Fastest - Big Market- Main Area - Cosmetic and Perfumes","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",3
fastest-bigmarket-main-area-baby-and-mom,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_bigmarket,"Fastest - Big Market- Main Area - Baby & Mom","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",4
fastest-bigmarket-main-area-electronics,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_bigmarket,"Fastest - Big Market- Main Area - Electronics","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",5
fastest-bigmarket-product-content-right-custom-block,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_bigmarket,"Fastest - Big Market- Product Content Right - Custom Block","a:1:{i:0;a:2:{s:10:""page_group"";s:12:""all_products"";s:12:""all_products"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:20:""catalog_product_view"";s:5:""block"";s:18:""product.info.right"";}}}",0
fastest-bigmarket-main-area-sports-outdoors,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_bigmarket,"Fastest - Big Market- Main Area - Sports & Outdoors","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",3
fastest-bigmarket-scroll-bar,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_bigmarket,"Fastest - Big Market - Scroll Bar","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:15:""before.body.end"";}}}",0
